image_name,comment,label
3449718979.jpg,a brown dog is walking down some steps under tree .,animal
4771783770.jpg,A person in a helmet on a motorcycle,human
557601144.jpg,A dog is chasing a ball in a backyard .,animal
3361630301.jpg,A woman at the checkout aisle at Walmart with a cart full of Tidy Cats brand cat litter .,animal
7381226538.jpg,a motocross rider wearing a red suit jumping off a ramp on a clear sunny day,human
447357501.jpg,A child in a white hoodie runs towards a flock of white birds .,human
4604364861.jpg,The police officer riding a horse is talking to a man riding a bike .,animal
487894806.jpg,A tan dog bites on a broom as it moves over the brick floor .,animal
2403544744.jpg,A dog runs by two cows .,animal
2844641033.jpg,A boy plays in the sand .,human
2245989501.jpg,Several persons on the backs of camels traversing a hill .,human
1663751778.jpg,A mountain climber scales a steep rock face .,human
1512967800.jpg,A boy examining a gun with another boy and a man in the background .,human
4758584005.jpg,A man prepares to fly his toy airplane .,human
2583001715.jpg,A small dog jumping up to meet a yellow soccer ball .,animal
3691592651.jpg,Two girls climb on an iceburg climbing device that is floating in water .,human
1855985590.jpg,A man holding a walkie talkie in front of an open green box with controls in it .,human
2562463210.jpg,A young boy wearing Spider-Man water-wings at the edge of the pool .,human
4969460165.jpg,Young men mingle around a basketball court with a ferris wheel in the background .,human
3662909101.jpg,A black dog jumps over an obstacle .,animal
3407317539.jpg,A dog running in snow .,animal
460478198.jpg,A husky chasing a brown spoted dog at the shore .,animal
3519815055.jpg,A boy jumps off of a structure into a pool .,human
393987665.jpg,The woman in the red jacket looks as if she was buying something from the open air vendor .,human
49416802.jpg,A man with glasses reads through a menu on the lake-side patio of a restaurant .,human
1096097967.jpg,A white and black dog is jumping into a pool .,animal
